time,current_grade,target_grade,speed,stock_flow,steam,filler,basis_weight,moisture,ash,caliper,off_spec
27,CP080,CP100,950.0,520.5,4.6,97.7,85.31,5.17,18.57,92.58,1
28,CP080,CP100,950.0,522.0,4.6,97.8,85.6,5.17,18.64,92.77,1
29,CP080,CP100,950.0,523.5,4.6,97.9,85.33,5.2,18.69,92.67,1
30,CP080,CP100,950.0,525.0,4.6,98.0,85.52,5.18,18.7,92.62,1
31,CP080,CP100,950.0,526.5,4.6,98.1,85.6,5.14,18.74,92.62,1
32,CP080,CP100,950.0,528.0,4.6,98.2,85.94,5.14,18.78,92.41,1
33,CP080,CP100,950.0,529.5,4.6,98.3,86.11,5.08,18.81,92.65,1
34,CP080,CP100,950.0,531.0,4.6,98.4,86.4,5.15,18.84,92.77,1
35,CP080,CP100,950.0,532.5,4.6,98.5,86.61,5.16,18.85,92.83,1
36,CP080,CP100,950.0,534.0,4.6,98.6,86.77,5.14,18.82,92.6,1
37,CP080,CP100,950.0,535.5,4.6,98.7,87.23,5.09,18.82,92.54,1
38,CP080,CP100,950.0,537.0,4.6,98.8,87.38,5.08,18.81,92.44,1
39,CP080,CP100,950.0,538.5,4.6,98.9,87.79,5.08,18.87,92.67,1
40,CP080,CP100,950.0,540.0,4.6,99.0,88.03,5.04,18.87,92.83,1
41,CP080,CP100,950.0,541.5,4.6,99.1,88.24,5.02,18.93,92.54,1
42,CP080,CP100,950.0,543.0,4.6,99.2,88.6,5.08,18.95,92.51,1
43,CP080,CP100,950.0,544.5,4.6,99.3,89.07,5.04,18.97,92.67,1
44,CP080,CP100,950.0,546.0,4.6,99.4,89.23,5.11,18.96,92.52,1
45,CP080,CP100,950.0,547.5,4.6,99.5,89.25,5.15,19.04,92.63,1
46,CP080,CP100,950.0,549.0,4.6,99.6,89.69,5.12,19.09,92.6,1
47,CP080,CP100,950.0,550.5,4.6,99.7,89.78,5.13,19.12,92.86,1
48,CP080,CP100,950.0,552.0,4.6,99.8,90.09,5.11,19.1,93.14,1
49,CP080,CP100,950.0,553.5,4.6,99.9,90.49,5.11,19.11,93.27,1
50,CP080,CP100,950.0,555.0,4.6,100.0,90.67,5.11,19.09,93.64,1
51,CP080,CP100,950.0,556.5,4.6,100.0,90.88,5.13,19.11,93.74,1
52,CP080,CP100,950.0,558.0,4.6,100.0,91.08,5.17,19.07,93.67,1
53,CP080,CP100,950.0,559.5,4.6,100.0,91.19,5.16,19.06,93.74,1
54,CP080,CP100,950.0,561.0,4.6,100.0,91.53,5.09,19.08,94.06,1
55,CP080,CP100,950.0,562.5,4.6,100.0,92.04,5.08,19.08,94.12,1
56,CP080,CP100,950.0,564.0,4.6,100.0,92.22,5.12,19.14,94.09,1
57,CP080,CP100,950.0,565.5,4.6,100.0,92.57,5.19,19.27,94.46,1
58,CP080,CP100,950.0,567.0,4.6,100.0,92.86,5.17,19.27,94.81,1
59,CP080,CP100,950.0,568.5,4.6,100.0,93.2,5.18,19.27,94.83,1
60,CP080,CP100,950.0,570.0,4.6,100.0,93.46,5.17,19.27,95.1,1
61,CP080,CP100,950.0,570.0,4.6,100.0,93.74,5.16,19.31,95.32,1
62,CP080,CP100,950.0,570.0,4.6,100.0,94.13,5.13,19.27,95.5,1
63,CP080,CP100,950.0,570.0,4.6,100.0,94.39,5.11,19.23,95.56,1
64,CP080,CP100,950.0,570.0,4.6,100.0,94.29,5.17,19.29,96.11,1
65,CP080,CP100,950.0,570.0,4.6,100.0,94.41,5.17,19.23,96.13,1
66,CP080,CP100,950.0,570.0,4.6,100.0,94.42,5.15,19.24,96.23,1
67,CP080,CP100,950.0,570.0,4.6,100.0,94.4,5.12,19.22,96.55,1
68,CP080,CP100,950.0,570.0,4.6,100.0,94.56,5.1,19.24,96.85,1
69,CP080,CP100,950.0,570.0,4.6,100.0,94.79,5.08,19.3,97.06,1
70,CP080,CP100,950.0,570.0,4.6,100.0,95.02,5.11,19.25,97.23,1
71,CP080,CP100,950.0,570.0,4.6,100.0,95.01,5.15,19.24,97.53,1
72,CP080,CP100,950.0,570.0,4.6,100.0,95.28,5.13,19.24,98.06,1
73,CP080,CP100,950.0,570.0,4.6,100.0,95.66,5.12,19.19,98.17,1
74,CP080,CP100,950.0,570.0,4.6,100.0,95.65,5.08,19.22,98.33,1
75,CP080,CP100,950.0,570.0,4.6,100.0,95.87,5.08,19.21,98.81,1
76,CP080,CP100,950.0,570.0,4.6,100.0,96.03,5.12,19.24,99.07,1
77,CP080,CP100,950.0,570.0,4.6,100.0,96.01,5.08,19.24,99.13,1
78,CP080,CP100,950.0,570.0,4.6,100.0,96.13,5.06,19.23,99.33,1
79,CP080,CP100,950.0,570.0,4.6,100.0,96.1,5.04,19.31,99.48,1
80,CP080,CP100,950.0,570.0,4.6,100.0,96.35,5.01,19.38,99.91,1
81,CP080,CP100,950.0,570.0,4.6,100.0,96.47,5.07,19.37,100.01,1
82,CP080,CP100,950.0,570.0,4.6,100.0,96.85,5.05,19.37,100.15,1
83,CP080,CP100,950.0,570.0,4.6,100.0,97.15,5.04,19.4,100.26,1
84,CP080,CP100,950.0,570.0,4.6,100.0,97.11,5.08,19.43,100.64,1
85,CP080,CP100,950.0,570.0,4.6,100.0,97.19,5.03,19.43,100.82,1
86,CP080,CP100,950.0,570.0,4.6,100.0,97.22,5.03,19.43,101.04,1
87,CP080,CP100,950.0,570.0,4.6,100.0,97.35,5.03,19.48,100.96,1
88,CP080,CP100,950.0,570.0,4.6,100.0,97.56,5.1,19.51,101.25,0
89,CP080,CP100,950.0,570.0,4.6,100.0,97.58,5.09,19.51,101.63,0
90,CP080,CP100,950.0,570.0,4.6,100.0,97.63,5.02,19.53,101.71,0
91,CP080,CP100,950.0,570.0,4.6,100.0,97.7,4.98,19.51,102.02,0
92,CP080,CP100,950.0,570.0,4.6,100.0,97.86,5.0,19.55,102.06,0
93,CP080,CP100,950.0,570.0,4.6,100.0,97.93,5.03,19.56,102.43,0
94,CP080,CP100,950.0,570.0,4.6,100.0,98.11,4.97,19.47,102.73,0
95,CP080,CP100,950.0,570.0,4.6,100.0,98.22,4.98,19.48,103.0,0
96,CP080,CP100,950.0,570.0,4.6,100.0,98.35,5.0,19.52,103.25,0
97,CP080,CP100,950.0,570.0,4.6,100.0,98.36,5.1,19.47,103.37,0
98,CP080,CP100,950.0,570.0,4.6,100.0,98.69,5.11,19.46,103.42,0
99,CP080,CP100,950.0,570.0,4.6,100.0,98.88,5.13,19.47,103.6,0
100,CP080,CP100,950.0,570.0,4.6,100.0,98.84,5.1,19.53,103.93,0
101,CP080,CP100,950.0,570.0,4.6,100.0,98.78,5.08,19.61,103.84,0
102,CP080,CP100,950.0,570.0,4.6,100.0,98.87,5.09,19.57,104.18,0
103,CP080,CP100,950.0,570.0,4.6,100.0,99.26,5.09,19.53,104.43,0
104,CP080,CP100,950.0,570.0,4.6,100.0,98.89,5.06,19.53,104.28,0
105,CP080,CP100,950.0,570.0,4.6,100.0,99.09,5.0,19.57,104.46,0
106,CP080,CP100,950.0,570.0,4.6,100.0,99.4,5.03,19.63,104.62,0
107,CP080,CP100,950.0,570.0,4.6,100.0,99.45,5.08,19.66,104.78,0
108,CP080,CP100,950.0,570.0,4.6,100.0,99.43,5.06,19.64,104.63,0
109,CP080,CP100,950.0,570.0,4.6,100.0,99.33,5.11,19.61,104.8,0
110,CP080,CP100,950.0,570.0,4.6,100.0,99.52,5.1,19.66,105.0,0
111,CP080,CP100,950.0,570.0,4.6,100.0,99.51,5.16,19.68,104.92,0
112,CP080,CP100,950.0,570.0,4.6,100.0,99.52,5.15,19.74,105.02,0
113,CP080,CP100,950.0,570.0,4.6,100.0,99.81,5.16,19.69,105.19,0
114,CP080,CP100,950.0,570.0,4.6,100.0,99.71,5.1,19.72,105.36,0
115,CP080,CP100,950.0,570.0,4.6,100.0,99.57,5.09,19.72,105.53,0
116,CP080,CP100,950.0,570.0,4.6,100.0,99.41,5.06,19.71,105.63,0
117,CP080,CP100,950.0,570.0,4.6,100.0,99.5,5.09,19.71,105.62,0
118,CP080,CP100,950.0,570.0,4.6,100.0,99.17,5.1,19.75,105.63,0
119,CP080,CP100,950.0,570.0,4.6,100.0,99.52,5.11,19.76,106.18,0
120,CP080,CP100,950.0,570.0,4.6,100.0,99.35,5.1,19.86,106.11,0
121,CP080,CP100,950.0,570.0,4.6,100.0,99.39,5.1,19.89,106.18,0
122,CP080,CP100,950.0,570.0,4.6,100.0,99.29,5.04,19.93,106.3,0
123,CP080,CP100,950.0,570.0,4.6,100.0,99.38,5.03,19.93,106.34,0
124,CP080,CP100,950.0,570.0,4.6,100.0,99.23,5.04,19.9,106.26,0
125,CP080,CP100,950.0,570.0,4.6,100.0,99.22,5.06,19.93,106.35,0
126,CP080,CP100,950.0,570.0,4.6,100.0,99.12,5.14,19.92,106.62,0
127,CP080,CP100,950.0,570.0,4.6,100.0,99.1,5.17,19.96,106.57,0
128,CP080,CP100,950.0,570.0,4.6,100.0,99.12,5.16,19.97,106.79,0
129,CP080,CP100,950.0,570.0,4.6,100.0,99.2,5.14,19.96,106.74,0
130,CP080,CP100,950.0,570.0,4.6,100.0,99.43,5.12,19.99,106.79,0
131,CP080,CP100,950.0,570.0,4.6,100.0,99.39,5.16,19.97,106.59,0
132,CP080,CP100,950.0,570.0,4.6,100.0,99.46,5.19,20.0,106.55,0
133,CP080,CP100,950.0,570.0,4.6,100.0,99.49,5.2,19.94,106.64,0
134,CP080,CP100,950.0,570.0,4.6,100.0,99.7,5.16,19.9,106.76,0
135,CP080,CP100,950.0,570.0,4.6,100.0,99.9,5.27,19.86,107.16,0
136,CP080,CP100,950.0,570.0,4.6,100.0,99.76,5.26,19.82,106.98,0
137,CP080,CP100,950.0,570.0,4.6,100.0,99.78,5.25,19.78,107.08,0
138,CP080,CP100,950.0,570.0,4.6,100.0,99.82,5.28,19.77,107.33,0
139,CP080,CP100,950.0,570.0,4.6,100.0,99.76,5.31,19.76,107.46,0
140,CP080,CP100,950.0,570.0,4.6,100.0,99.78,5.33,19.72,107.73,0
141,CP080,CP100,950.0,570.0,4.6,100.0,99.76,5.39,19.73,107.5,0
142,CP080,CP100,950.0,570.0,4.6,100.0,99.83,5.37,19.78,107.65,0
143,CP080,CP100,950.0,570.0,4.6,100.0,100.0,5.36,19.78,107.68,0
144,CP080,CP100,950.0,570.0,4.6,100.0,99.98,5.34,19.77,108.0,0
145,CP080,CP100,950.0,570.0,4.6,100.0,100.01,5.34,19.8,108.25,0
146,CP080,CP100,950.0,570.0,4.6,100.0,100.01,5.34,19.85,108.3,0
147,CP080,CP100,950.0,570.0,4.6,100.0,99.95,5.34,19.84,108.18,0
148,CP080,CP100,950.0,570.0,4.6,100.0,99.98,5.34,19.88,108.16,0
149,CP080,CP100,950.0,570.0,4.6,100.0,99.85,5.36,19.87,108.12,0
150,CP080,CP100,950.0,570.0,4.6,100.0,99.91,5.37,19.87,108.08,0
151,CP080,CP100,950.0,570.0,4.6,100.0,99.87,5.35,19.8,108.03,0
152,CP080,CP100,950.0,570.0,4.6,100.0,99.83,5.32,19.81,107.91,0
153,CP080,CP100,950.0,570.0,4.6,100.0,99.8,5.28,19.83,107.99,0
154,CP080,CP100,950.0,570.0,4.6,100.0,99.69,5.26,19.88,108.12,0
155,CP080,CP100,950.0,570.0,4.6,100.0,99.65,5.23,19.84,108.25,0
156,CP080,CP100,950.0,570.0,4.6,100.0,99.85,5.21,19.88,108.4,0
157,CP080,CP100,950.0,570.0,4.6,100.0,99.76,5.21,19.83,108.44,0
158,CP080,CP100,950.0,570.0,4.6,100.0,99.94,5.2,19.8,108.62,0
159,CP080,CP100,950.0,570.0,4.6,100.0,99.99,5.22,19.81,108.89,0
160,CP080,CP100,950.0,570.0,4.6,100.0,99.98,5.23,19.87,109.15,0
161,CP080,CP100,950.0,570.0,4.6,100.0,99.93,5.22,19.95,109.22,0
162,CP080,CP100,950.0,570.0,4.6,100.0,100.04,5.23,19.93,109.14,0
163,CP080,CP100,950.0,570.0,4.6,100.0,100.03,5.22,19.93,109.06,0
164,CP080,CP100,950.0,570.0,4.6,100.0,99.98,5.21,19.92,109.22,0
165,CP080,CP100,950.0,570.0,4.6,100.0,99.93,5.26,19.98,109.49,0
166,CP080,CP100,950.0,570.0,4.6,100.0,100.12,5.23,19.98,109.41,0
167,CP080,CP100,950.0,570.0,4.6,100.0,100.1,5.25,19.93,109.57,0
168,CP080,CP100,950.0,570.0,4.6,100.0,100.13,5.27,19.99,109.91,0
169,CP080,CP100,950.0,570.0,4.6,100.0,100.2,5.25,20.0,109.84,0
170,CP080,CP100,950.0,570.0,4.6,100.0,99.96,5.26,19.92,110.22,0
171,CP080,CP100,950.0,570.0,4.6,100.0,99.75,5.27,19.89,110.31,0
172,CP080,CP100,950.0,570.0,4.6,100.0,99.56,5.27,19.92,110.42,0
173,CP080,CP100,950.0,570.0,4.6,100.0,99.31,5.25,19.99,110.46,0
174,CP080,CP100,950.0,570.0,4.6,100.0,99.09,5.24,19.93,110.56,0
175,CP080,CP100,950.0,570.0,4.6,100.0,99.15,5.21,19.91,110.58,0
176,CP080,CP100,950.0,570.0,4.6,100.0,99.17,5.23,19.91,110.6,0
177,CP080,CP100,950.0,570.0,4.6,100.0,99.2,5.2,19.91,110.76,0
178,CP080,CP100,950.0,570.0,4.6,100.0,99.23,5.26,19.91,110.59,0
179,CP080,CP100,950.0,570.0,4.6,100.0,99.31,5.22,19.85,110.68,0
180,CP080,CP100,950.0,570.0,4.6,100.0,99.15,5.23,19.84,110.62,0
181,CP080,CP100,950.0,570.0,4.6,100.0,99.35,5.26,19.85,110.78,0
182,CP080,CP100,950.0,570.0,4.6,100.0,99.53,5.23,19.89,110.69,0
183,CP080,CP100,950.0,570.0,4.6,100.0,99.49,5.21,19.92,110.77,0
184,CP080,CP100,950.0,570.0,4.6,100.0,99.45,5.24,19.85,110.59,0
185,CP080,CP100,950.0,570.0,4.6,100.0,99.69,5.25,19.87,110.62,0
186,CP080,CP100,950.0,570.0,4.6,100.0,99.8,5.26,19.91,110.63,0
187,CP080,CP100,950.0,570.0,4.6,100.0,99.49,5.22,19.86,110.23,0
188,CP080,CP100,950.0,570.0,4.6,100.0,99.55,5.21,19.83,110.4,0
189,CP080,CP100,950.0,570.0,4.6,100.0,99.32,5.18,19.89,110.13,0
190,CP080,CP100,950.0,570.0,4.6,100.0,99.26,5.16,19.92,110.26,0
191,CP080,CP100,950.0,570.0,4.6,100.0,99.35,5.15,19.95,110.19,0
192,CP080,CP100,950.0,570.0,4.6,100.0,99.52,5.14,19.98,109.79,0
193,CP080,CP100,950.0,570.0,4.6,100.0,99.42,5.14,20.0,109.5,0
194,CP080,CP100,950.0,570.0,4.6,100.0,99.42,5.14,19.97,109.39,0
195,CP080,CP100,950.0,570.0,4.6,100.0,99.33,5.15,19.95,109.47,0
196,CP080,CP100,950.0,570.0,4.6,100.0,99.41,5.17,19.93,109.32,0
197,CP080,CP100,950.0,570.0,4.6,100.0,99.46,5.2,19.9,109.13,0
198,CP080,CP100,950.0,570.0,4.6,100.0,99.58,5.17,19.87,108.88,0
199,CP080,CP100,950.0,570.0,4.6,100.0,99.52,5.19,19.83,109.01,0
200,CP080,CP100,950.0,570.0,4.6,100.0,99.44,5.22,19.85,109.18,0
201,CP080,CP100,950.0,570.0,4.6,100.0,99.71,5.26,19.84,109.19,0
202,CP080,CP100,950.0,570.0,4.6,100.0,99.4,5.28,19.88,109.4,0
203,CP080,CP100,950.0,570.0,4.6,100.0,99.38,5.33,19.87,109.19,0
204,CP080,CP100,950.0,570.0,4.6,100.0,99.33,5.36,19.97,109.29,0
205,CP080,CP100,950.0,570.0,4.6,100.0,99.34,5.36,19.92,109.27,0
206,CP080,CP100,950.0,570.0,4.6,100.0,99.44,5.37,19.92,109.16,0
207,CP080,CP100,950.0,570.0,4.6,100.0,99.29,5.35,19.89,109.15,0
208,CP080,CP100,950.0,570.0,4.6,100.0,99.35,5.39,19.87,108.94,0
209,CP080,CP100,950.0,570.0,4.6,100.0,99.12,5.35,19.86,109.04,0
210,CP080,CP100,950.0,570.0,4.6,100.0,99.03,5.43,19.84,108.74,0
211,CP080,CP100,950.0,570.0,4.6,100.0,98.93,5.4,19.77,108.68,0
212,CP080,CP100,950.0,570.0,4.6,100.0,98.89,5.4,19.85,108.62,0
213,CP080,CP100,950.0,570.0,4.6,100.0,98.9,5.34,19.87,108.56,0
214,CP080,CP100,950.0,570.0,4.6,100.0,98.74,5.36,19.9,108.43,0
215,CP080,CP100,950.0,570.0,4.6,100.0,98.96,5.38,19.83,108.4,0
216,CP080,CP100,950.0,570.0,4.6,100.0,99.19,5.4,19.89,108.38,0
217,CP080,CP100,950.0,570.0,4.6,100.0,99.05,5.34,19.87,108.36,0
218,CP080,CP100,950.0,570.0,4.6,100.0,98.87,5.32,19.84,108.38,0
219,CP080,CP100,950.0,570.0,4.6,100.0,98.85,5.26,19.89,108.51,0
220,CP080,CP100,950.0,570.0,4.6,100.0,99.18,5.28,19.88,108.63,0
221,CP080,CP100,950.0,570.0,4.6,100.0,99.21,5.3,19.91,108.55,0
222,CP080,CP100,950.0,570.0,4.6,100.0,99.32,5.33,19.89,108.7,0
223,CP080,CP100,950.0,570.0,4.6,100.0,99.24,5.31,19.93,108.87,0
224,CP080,CP100,950.0,570.0,4.6,100.0,99.27,5.3,19.91,109.05,0
225,CP080,CP100,950.0,570.0,4.6,100.0,99.24,5.3,19.87,108.93,0
226,CP080,CP100,950.0,570.0,4.6,100.0,99.12,5.31,19.79,108.73,0
227,CP080,CP100,950.0,570.0,4.6,100.0,99.12,5.34,19.79,108.74,0
228,CP080,CP100,950.0,570.0,4.6,100.0,99.06,5.32,19.79,108.96,0
229,CP080,CP100,950.0,570.0,4.6,100.0,99.22,5.33,19.79,108.98,0
230,CP080,CP100,950.0,570.0,4.6,100.0,99.39,5.35,19.81,108.97,0
231,CP080,CP100,950.0,570.0,4.6,100.0,99.57,5.34,19.76,109.05,0
232,CP080,CP100,950.0,570.0,4.6,100.0,99.64,5.37,19.76,108.94,0
233,CP080,CP100,950.0,570.0,4.6,100.0,99.81,5.36,19.78,109.27,0
234,CP080,CP100,950.0,570.0,4.6,100.0,99.7,5.38,19.77,109.34,0
235,CP080,CP100,950.0,570.0,4.6,100.0,99.48,5.39,19.72,109.32,0
236,CP080,CP100,950.0,570.0,4.6,100.0,99.46,5.39,19.72,109.35,0
237,CP080,CP100,950.0,570.0,4.6,100.0,99.61,5.4,19.7,109.47,0
238,CP080,CP100,950.0,570.0,4.6,100.0,99.62,5.39,19.71,109.75,0
239,CP080,CP100,950.0,570.0,4.6,100.0,99.79,5.4,19.7,109.82,0
240,CP080,CP100,950.0,570.0,4.6,100.0,99.8,5.36,19.76,109.7,0
241,CP080,CP100,950.0,570.0,4.6,100.0,99.69,5.32,19.76,109.68,0
242,CP080,CP100,950.0,570.0,4.6,100.0,99.5,5.27,19.78,109.77,0
243,CP080,CP100,950.0,570.0,4.6,100.0,99.42,5.25,19.81,109.85,0
244,CP080,CP100,950.0,570.0,4.6,100.0,99.23,5.28,19.77,109.91,0
245,CP080,CP100,950.0,570.0,4.6,100.0,99.04,5.32,19.72,109.59,0
246,CP080,CP100,950.0,570.0,4.6,100.0,99.1,5.35,19.72,109.88,0
247,CP080,CP100,950.0,570.0,4.6,100.0,99.05,5.34,19.7,109.65,0
248,CP080,CP100,950.0,570.0,4.6,100.0,99.11,5.34,19.72,109.85,0
249,CP080,CP100,950.0,570.0,4.6,100.0,98.94,5.35,19.81,109.9,0
250,CP080,CP100,950.0,570.0,4.6,100.0,99.05,5.28,19.88,109.96,0
251,CP080,CP100,950.0,570.0,4.6,100.0,99.0,5.31,19.9,110.06,0
252,CP080,CP100,950.0,570.0,4.6,100.0,98.65,5.3,19.96,109.88,0
253,CP080,CP100,950.0,570.0,4.6,100.0,98.86,5.34,19.96,109.82,0
254,CP080,CP100,950.0,570.0,4.6,100.0,98.96,5.33,19.94,109.47,0
255,CP080,CP100,950.0,570.0,4.6,100.0,98.81,5.32,19.87,109.4,0
256,CP080,CP100,950.0,570.0,4.6,100.0,98.95,5.26,19.91,109.4,0
257,CP080,CP100,950.0,570.0,4.6,100.0,99.05,5.26,19.91,109.43,0
258,CP080,CP100,950.0,570.0,4.6,100.0,99.1,5.25,19.84,109.56,0
259,CP080,CP100,950.0,570.0,4.6,100.0,98.76,5.22,19.84,109.53,0
260,CP080,CP100,950.0,570.0,4.6,100.0,98.53,5.2,19.78,109.39,0
261,CP080,CP100,950.0,570.0,4.6,100.0,98.71,5.17,19.71,109.28,0
262,CP080,CP100,950.0,570.0,4.6,100.0,98.98,5.11,19.78,109.16,0
263,CP080,CP100,950.0,570.0,4.6,100.0,99.25,5.07,19.78,108.88,0
264,CP080,CP100,950.0,570.0,4.6,100.0,99.46,5.08,19.73,108.98,0
265,CP080,CP100,950.0,570.0,4.6,100.0,99.32,5.09,19.7,108.72,0
266,CP080,CP100,950.0,570.0,4.6,100.0,99.23,5.08,19.72,108.91,0
267,CP080,CP100,950.0,570.0,4.6,100.0,99.33,5.04,19.74,108.93,0
268,CP080,CP100,950.0,570.0,4.6,100.0,99.48,5.07,19.72,108.95,0
269,CP080,CP100,950.0,570.0,4.6,100.0,99.45,5.14,19.66,108.87,0
270,CP080,CP100,950.0,570.0,4.6,100.0,99.55,5.16,19.69,108.5,0
271,CP080,CP100,950.0,570.0,4.6,100.0,99.6,5.18,19.71,108.29,0
272,CP080,CP100,950.0,570.0,4.6,100.0,99.55,5.22,19.7,108.41,0
273,CP080,CP100,950.0,570.0,4.6,100.0,99.53,5.2,19.64,108.26,0
274,CP080,CP100,950.0,570.0,4.6,100.0,99.66,5.2,19.71,108.28,0
275,CP080,CP100,950.0,570.0,4.6,100.0,99.57,5.19,19.77,108.5,0
276,CP080,CP100,950.0,570.0,4.6,100.0,99.69,5.2,19.77,108.51,0
277,CP080,CP100,950.0,570.0,4.6,100.0,99.88,5.23,19.75,108.47,0
278,CP080,CP100,950.0,570.0,4.6,100.0,99.94,5.26,19.74,108.43,0
279,CP080,CP100,950.0,570.0,4.6,100.0,100.01,5.28,19.76,108.39,0
280,CP080,CP100,950.0,570.0,4.6,100.0,100.09,5.3,19.8,108.42,0
281,CP080,CP100,950.0,570.0,4.6,100.0,99.84,5.26,19.85,108.55,0
282,CP080,CP100,950.0,570.0,4.6,100.0,99.48,5.23,19.84,108.57,0
283,CP080,CP100,950.0,570.0,4.6,100.0,99.65,5.16,19.85,108.7,0
284,CP080,CP100,950.0,570.0,4.6,100.0,99.65,5.18,19.88,108.88,0
285,CP080,CP100,950.0,570.0,4.6,100.0,99.73,5.12,19.88,108.8,0
286,CP080,CP100,950.0,570.0,4.6,100.0,99.57,5.22,19.86,108.58,0
287,CP080,CP100,950.0,570.0,4.6,100.0,99.31,5.24,19.85,108.9,0
288,CP080,CP100,950.0,570.0,4.6,100.0,99.34,5.24,19.89,108.82,0
289,CP080,CP100,950.0,570.0,4.6,100.0,99.36,5.22,19.86,108.97,0
290,CP080,CP100,950.0,570.0,4.6,100.0,99.51,5.2,19.84,109.07,0
291,CP080,CP100,950.0,570.0,4.6,100.0,99.74,5.18,19.86,109.26,0
292,CP080,CP100,950.0,570.0,4.6,100.0,99.96,5.25,19.9,109.24,0
293,CP080,CP100,950.0,570.0,4.6,100.0,99.78,5.31,19.84,109.15,0
294,CP080,CP100,950.0,570.0,4.6,100.0,100.11,5.34,19.86,109.08,0
295,CP080,CP100,950.0,570.0,4.6,100.0,99.97,5.28,19.94,109.03,0
296,CP080,CP100,950.0,570.0,4.6,100.0,100.04,5.31,19.89,108.93,0
297,CP080,CP100,950.0,570.0,4.6,100.0,100.03,5.33,19.93,108.76,0
298,CP080,CP100,950.0,570.0,4.6,100.0,100.44,5.33,20.01,108.89,0
299,CP080,CP100,950.0,570.0,4.6,100.0,100.3,5.36,20.08,109.24,0
300,CP080,CP100,950.0,570.0,4.6,100.0,100.22,5.28,20.1,109.39,0
1,CP080,CP120,998.0,482.83,4.25,95.17,80.47,5.0,18.08,94.34,1
2,CP080,CP120,996.0,485.62,4.3,95.33,80.87,5.08,18.13,93.92,1
3,CP080,CP120,994.0,488.36,4.35,95.49,81.35,5.12,18.2,93.6,1
4,CP080,CP120,992.0,491.05,4.4,95.65,81.94,5.18,18.3,93.14,1
5,CP080,CP120,990.0,493.7,4.45,95.81,82.75,5.2,18.44,92.86,1
6,CP080,CP120,988.0,496.31,4.5,95.96,83.16,5.25,18.46,92.7,1
7,CP080,CP120,986.0,498.87,4.55,96.11,83.61,5.24,18.5,92.47,1
8,CP080,CP120,984.0,501.39,4.6,96.26,84.16,5.24,18.57,91.87,1
9,CP080,CP120,982.0,503.86,4.65,96.4,84.32,5.3,18.64,91.54,1
10,CP080,CP120,980.0,506.3,4.7,96.55,84.73,5.34,18.69,91.39,1
11,CP080,CP120,978.0,508.7,4.75,96.69,85.16,5.33,18.68,91.12,1
12,CP080,CP120,976.0,511.05,4.8,96.83,85.46,5.39,18.66,91.05,1
13,CP080,CP120,974.0,513.37,4.85,96.96,85.61,5.37,18.69,91.04,1
14,CP080,CP120,972.0,515.64,4.9,97.1,86.15,5.35,18.76,90.89,1
15,CP080,CP120,970.0,517.88,4.95,97.23,86.49,5.36,18.81,90.58,1
